estado,NameState,year,Homicides,MortInfResp,Poverty,AccessHealth,WomenActiveEcon,Analfabeto,AveSchool,LifeExp,MortInf,HospBeds,DocNurse,NetMigration,WomenAdmin,AveSalary,GDPpc
03,Baja California Sur,2006,0.671717985920791,24.4716740373018,31.7443754239671,84.0183779804044,33.7623145379816,3.5,9.02356202185792,75.1755402566561,13.8414865377323,0.840672254629892,4.46529704932888,1.89814945913802,0.123853311439518,6588.452715,136558.944595218
04,Campeche,2006,3.58230342109977,11.3338706427564,58.5199195362788,73.2719224175431,35.1218468160497,9.7,7.99959332532091,74.3278120536337,13.9011752811829,0.890458278959085,4.55080473887567,0.229395358358282,0.32637072084609,6661.66155075,140742.484316651
05,Coahuila,2006,4.15185584147072,16.4186238274366,25.6350611025472,80.680081604917,35.3692597078563,3.1,9.11706196944309,75.117305473274,11.3623988093077,0.889030415962629,3.7054361124612,-0.176358647211096,0.220137632238307,4737.863925,123170.14337654
06,Colima,2006,5.12345036285598,6.67389672144824,35.0434593495912,87.5217540049681,39.6080449694815,6.1,8.52555477115869,75.1162496164395,13.3333333333333,0.824710235827462,4.62267440803489,0.296664303268596,0.310883280757098,5387.722189,94615.2895398621
07,Chiapas,2006,7.75529824429146,55.0460925015181,80.8261706039755,45.051610643302,28.2821208201395,20.6,6.19200501151882,71.479915308988,19.4248020213325,0.416793123520022,2.03132490605366,-0.461960153797529,0.544492739649421,5315.645845,37364.4105128328
08,Chihuahua,2006,17.8483337090613,25.6147540983607,43.7895417076691,70.366679418343,34.9305185689042,4.2,8.41732128253366,72.7231373060869,16.9172664433835,0.659455297749635,2.8737924157524,0.016192923331324,0.193874654156141,2520.29735675,90719.3566676453
09,Ciudad de México,2006,7.2288185036368,34.3154972442124,28.7169872198522,61.7062194794048,42.5952288522299,2.5,10.2330051381033,75.2189553186372,13.2702003834372,1.18245203751322,5.67746281613829,-1.10600923105643,0.528628017459883,5378.31712725,197097.352068272
10,Durango,2006,12.9298545927474,11.5182160586968,61.1970205409635,63.9100637158005,32.9216253659446,4.6,8.1232812434554,75.0727270433537,14.9411194434148,0.824357070864433,3.65631058898326,-0.540341777053986,0.339068593243299,6216.02327375,75647.201816327
11,Guanajuato,2006,4.53735140174159,22.6399934633402,50.5518822858279,69.8516811074437,37.8387456315489,9.9,7.27242905028474,74.5823743226347,16.0526337929816,0.481296737531846,2.57429069197984,-1.00652328636237,0.20571901396311,4171.51033225,73380.2330688151
12,Guerrero,2006,25.1693064367569,20.9619250623807,70.0079266504479,44.6452375732939,39.6977978321404,19.2,6.87804272754886,71.7484866650719,19.6842118278373,0.449860005130088,2.77193150219863,-1.12197370664497,0.275051911819373,4299.7631905,46556.2997728662
13,Hidalgo,2006,3.98903449961907,28.6991555825377,55.0358053954983,54.1457719591412,36.7852414837562,12.2,7.57392537905441,73.3832148808658,18.0213704747222,0.494877250299276,2.91318004645448,-0.421415822880549,0.582973347821094,4020.198822,64685.4759508858
14,Jalisco,2006,6.07063418558372,15.914361691275,38.8109849883535,59.9825937063093,38.5248583423818,5.3,8.35194375362593,74.7084948500163,13.6993624784486,0.826748956850789,3.30199648160326,-0.230912640574462,0.143923338283281,4128.78343325,92145.7720072313
15,México,2006,19.0797793450421,65.2542055448332,37.0901844967849,54.5844826210181,36.8620415362962,5.1,8.77708369654992,74.3218577701433,18.8904751925394,0.458369970165599,1.837135803675,0.164213024977611,0.384684058809291,5295.39804825,64183.6893908176
16,Michoacán,2006,15.5210773177418,30.2155076649633,50.5538086787345,37.0052539198939,38.8885937744417,12,7.02246856623525,73.8039735026924,16.2994265016601,0.483478036266723,2.47351026422227,-0.924525532876624,0.710654567677343,4563.390452,54146.7621757497
17,Morelos,2006,9.32800795990013,13.1494796989965,35.7723555450832,56.4996855463983,38.8700647816956,7.7,8.50612980280518,74.9275630088424,14.5996209429045,0.552053804419247,3.08352263127265,-0.143733455985882,0.214911045693076,4055.32531075,72497.0667727649
18,Nayarit,2006,9.25276992495413,18.3739978918255,42.2292927337845,64.1953240044413,37.8845292098998,7.6,8.13463535167572,74.4420873637473,13.760796369492,0.621116789643197,4.17063682681177,0.407417177865799,0.297586568730325,4107.894817,65250.8364776483
19,Nuevo León,2006,4.08271026638324,6.26224907515859,21.6897587397072,77.3241735460335,36.1592611159892,2.6,9.52620804611192,76.0654395565028,10.8321082034696,0.812686160247285,3.39545403820872,0.274199357835038,0.2342,4476.32972475,163983.559381071
20,Oaxaca,2006,28.6913545516157,37.0538797096323,67.2255733617833,43.8096737550563,39.8155251664609,18.7,6.49970887911578,71.7703468004659,19.1333114354089,0.480586848756868,2.3030339842035,-1.13966216129816,0.485878184189568,6449.97835775,44111.8724514386
21,Puebla,2006,7.42296217330023,50.6329113924051,58.5736989915607,47.0515994247652,39.9301986342909,12.2,7.53457970476623,73.6833897670318,21.5921152388173,0.615122094312759,2.52201847333815,-0.792575606894233,0.11496318605925,3347.990195,57598.2611756988
22,Querétaro,2006,3.0288168625884,18.8584698776355,50.1777791353378,64.4892191593635,39.4694761317201,7.7,8.45765540287304,74.5032972372013,15.4363120865274,0.421704501637309,2.903586934616,-0.099659724074784,0.386937222574509,3777.576291,108520.28882097
